"Mage-OS Netherlands","Mage-OS Nederland"
"The Dutch Magento community","De Nederlandse Magento community"
"Assocation for the Dutch Magento community","Vereniging voor de Nederlandse Magento community"
"Association","Vereniging"
"Newsletter","Nieuwsbrief"
"Agenda","Agenda"
"Blog","Blog"
"Read more","Lees meer"
"Become member","Lid worden"
"Your email","Jouw emailadres"
"Pay now","Nu betalen"
"Directory of Magento in Nederland","Directory van Magento in Nederland"
"Sponsors","Sponsoren"
"Want to become a sponsor of Mage-OS Netherlands? Send an email to","Wilt u ook sponsor worden van Mage-OS Nederland? Stuur een email naar"
"Interest in sponsorship Mage-OS Netherlands","Interesse in sponsorschap Mage-OS Nederland"
